student_id,date,name,country,sql,excel,maths,python,poo,tableau,data_exploration,data_manipulation,data_viz,data_transformation,data_modelisation,data_deployement,pack_office,result_presentation,moyenne,admis,mention
GMC0000032,2020-06-24,Keita Ibrahima,Côte d'ivoire,58.44,3,58,1,43,68,58.44,1.0,58,1,43,3,34,3,28.6246,Non,refusée
GMC0000033,2020-06-26,Boujbel Mohamed,Tunisie,76.19,20,76,43,62,74,76.19,42.66,76,43,62,20,98,20,53.6994,Oui,passable
GMC0000034,2020-06-22,Ben Yahia Mohamed,Tunisie,76.15,13,76,100,21,40,76.15,100.0,76,100,21,13,3,13,58.45399999999999,Oui,passable
GMC0000035,2020-06-24,Traoré Ibrahima,Côte d'ivoire,71.59,66,72,63,7,42,71.59,63.24,72,63,7,66,69,66,56.647800000000004,Oui,passable
GMC0000036,2020-06-24,Dabo Anta,Sénégal,46.95,76,47,61,48,45,46.95,60.72,47,61,48,76,69,76,57.2866,Oui,passable
GMC0000037,2020-06-23,Ouertani Mohamed,Tunisie,53.12,82,53,37,59,65,53.12,37.31,53,37,59,82,29,82,55.4036,Oui,passable
GMC0000038,2020-06-23,Soltani Abderrahmane,Tunisie,41.93,15,42,63,75,1,41.93,63.26,42,63,75,15,75,15,46.806000000000004,Non,refusée
GMC0000039,2020-06-22,Camara Fodé,Côte d'ivoire,71.04,72,71,58,72,67,71.04,58.15,71,58,72,72,33,72,66.8896,Oui,assez bien
GMC0000040,2020-06-23,Kone Lamine,Côte d'ivoire,100.0,61,100,35,69,3,100.0,35.13,100,35,69,61,56,61,64.3514,Oui,assez bien
GMC0000041,2020-06-23,Gahou Koffi,Bénin,51.9,47,52,61,43,42,51.9,60.67,52,61,43,47,96,47,52.5666,Oui,passable
GMC0000042,2020-06-23,Gbessi Afi,Bénin,35.84,29,36,48,18,33,35.84,48.38,36,48,18,29,52,29,35.317,Non,refusée
GMC0000043,2020-06-25,Seck Ndongo,Sénégal,50.9,82,51,42,7,90,50.9,42.32,51,42,7,82,66,82,49.59360000000001,Non,refusée
GMC0000044,2020-06-25,Kante Abdoulaye,Côte d'ivoire,1.0,88,1,75,30,55,1.0,75.31,1,75,30,88,97,88,47.952799999999996,Non,refusée
GMC0000045,2020-06-25,Diarra Cheick,Côte d'ivoire,56.19,14,56,58,55,19,56.19,58.46,56,58,55,14,64,14,46.7574,Non,refusée
GMC0000046,2020-06-22,Keita Cheick,Côte d'ivoire,27.57,97,28,69,72,66,27.57,68.65,28,69,72,97,62,97,62.528800000000004,Oui,assez bien
GMC0000047,2020-06-22,Kouassi Konan,Côte d'ivoire,46.58,13,47,54,41,61,46.58,54.49,47,54,41,13,52,13,41.8534,Non,refusée
GMC0000048,2020-06-24,Khedher Houcine,Tunisie,50.46,70,50,27,17,59,50.46,27.07,50,27,17,70,63,70,43.04,Non,refusée
GMC0000049,2020-06-26,Goudiaby Aminata,Sénégal,68.89,96,69,56,79,47,68.89,56.4,69,56,79,96,85,96,71.9126,Oui,bien
GMC0000050,2020-06-24,Samba Fatoumata,Sénégal,55.38,32,55,52,87,100,55.38,52.12,55,52,87,32,19,32,55.8548,Oui,passable
GMC0000051,2020-06-23,Kouki Chokri,Tunisie,71.03,90,71,40,50,1,71.03,40.39,71,40,50,90,47,90,59.6054,Oui,passable
GMC0000052,2020-06-25,Owona Chedjou,Cameroun,13.85,85,14,18,56,37,13.85,17.57,14,18,56,85,20,85,37.1096,Non,refusée
GMC0000053,2020-06-26,Sossa Komi,Bénin,14.95,46,15,79,48,10,14.95,78.71,15,79,48,46,49,46,44.8958,Non,refusée
GMC0000054,2020-06-22,Fofana Cheick,Côte d'ivoire,47.48,17,47,1,67,75,47.48,1.0,47,1,67,17,82,17,33.2242,Non,refusée
GMC0000055,2020-06-25,Ben Jemaa Habib,Tunisie,36.29,42,36,16,58,47,36.29,15.9,36,16,58,42,97,42,36.8546,Non,refusée
GMC0000056,2020-06-24,Atchadé Têko,Bénin,46.38,73,46,89,42,44,46.38,89.12,46,89,42,73,28,73,62.4958,Oui,assez bien
GMC0000057,2020-06-24,Badiane Lamine,Sénégal,58.85,57,59,30,46,37,58.85,30.18,59,30,46,57,79,57,47.9704,Non,refusée
GMC0000058,2020-06-22,Tiemoko Cisse,Côte d'ivoire,49.11,71,49,59,62,62,49.11,58.64,49,59,62,71,54,71,58.9576,Oui,passable
GMC0000059,2020-06-24,Ben Ali,Tunisie,64.14,57,64,92,69,2,64.14,91.71,64,92,69,57,29,57,68.1134,Oui,assez bien
GMC0000060,2020-06-25,Tchetche Nyom,Cameroun,88.64,87,89,67,66,28,88.64,66.97,89,67,66,87,29,87,75.1542,Oui,bien
GMC0000061,2020-06-25,Keita Ibrahima,Côte d'ivoire,25.64,45,26,79,17,55,25.64,79.11,26,79,17,45,33,45,44.5034,Non,refusée
GMC0000062,2020-06-23,Brou Téa,Côte d'ivoire,48.24,91,48,39,92,65,48.24,38.83,48,39,92,91,50,91,61.951,Oui,assez bien
GMC0000063,2020-06-23,Agbohou Akouvi,Bénin,57.7,84,58,65,39,42,57.7,64.95,58,65,39,84,43,84,61.21799999999999,Oui,assez bien
GMC0000064,2020-06-24,Koulibaly Adama,Côte d'ivoire,44.79,48,45,55,15,57,44.79,54.8,45,55,15,48,66,48,44.5026,Non,refusée
GMC0000065,2020-06-26,Coulibaly Adama,Côte d'ivoire,75.85,50,76,1,60,50,75.85,1.0,76,1,60,50,55,50,45.809,Non,refusée
GMC0000066,2020-06-24,Diop Ndèye,Sénégal,1.0,19,1,28,76,92,1.0,27.87,1,28,76,19,88,19,29.548599999999997,Non,refusée
GMC0000067,2020-06-23,Bamba Mamadou,Côte d'ivoire,100.0,86,100,38,30,58,100.0,37.64,100,38,30,86,83,86,66.6772,Oui,assez bien
GMC0000068,2020-06-23,Ndiaye Modou,Sénégal,21.43,47,21,24,25,69,21.43,24.38,21,24,25,47,69,47,30.6976,Non,refusée
GMC0000069,2020-06-22,Diop Ndèye,Sénégal,55.3,99,55,3,65,75,55.3,2.68,55,3,65,99,47,99,51.5954,Oui,passable
GMC0000070,2020-06-26,Koulibaly Adama,Côte d'ivoire,67.62,38,68,42,98,66,67.62,42.22,68,42,98,38,92,38,59.922399999999996,Oui,passable
GMC0000071,2020-06-23,Drame Abdoulaye,Sénégal,30.36,39,30,47,29,60,30.36,47.03,30,47,29,39,16,39,37.4118,Non,refusée
GMC0000072,2020-06-22,Keita Adama,Côte d'ivoire,61.55,8,62,71,38,90,61.55,70.83,62,71,38,8,75,8,51.191399999999994,Oui,passable
GMC0000073,2020-06-22,Koné Souleymane,Côte d'ivoire,67.61,68,68,27,94,45,67.61,26.78,68,27,94,68,85,68,60.0958,Oui,assez bien
GMC0000074,2020-06-22,Kanwé Kossi,Bénin,63.09,6,63,90,28,50,63.09,89.53,63,90,28,6,73,6,53.221000000000004,Oui,passable
GMC0000075,2020-06-24,Sossa Komi,Bénin,26.84,48,27,32,100,62,26.84,32.0,27,32,100,48,88,48,46.925599999999996,Non,refusée
GMC0000076,2020-06-25,Kpalla Têko,Bénin,100.0,48,100,67,73,36,100.0,66.78,100,67,73,48,75,48,73.0104,Oui,bien
GMC0000077,2020-06-24,Eloundou Tchoutchoui,Cameroun,55.67,16,56,78,65,84,55.67,78.03,56,78,65,16,58,16,56.73219999999999,Oui,passable
GMC0000078,2020-06-24,Habib Bourguiba,Tunisie,21.18,35,21,79,48,31,21.18,79.28,21,79,48,35,48,35,45.382600000000004,Non,refusée
GMC0000079,2020-06-24,Mengue Douala,Cameroun,65.8,11,66,53,84,27,65.8,53.46,66,53,84,11,92,11,53.21979999999999,Oui,passable
GMC0000080,2020-06-24,Mboma Song,Cameroun,50.99,29,51,76,68,57,50.99,76.13,51,76,68,29,36,29,56.298,Oui,passable
GMC0000081,2020-06-23,Pongolle Siani,Cameroun,61.61,5,62,41,72,91,61.61,41.42,62,41,72,5,38,5,46.983999999999995,Non,refusée
GMC0000082,2020-06-22,Sagbo Têko,Bénin,1.0,83,1,29,48,22,1.0,28.95,1,29,48,83,59,83,34.839,Non,refusée
GMC0000083,2020-06-26,Fayala Mohamed,Tunisie,83.03,90,83,35,50,40,83.03,34.77,83,35,50,90,24,90,62.8558,Oui,assez bien
GMC0000084,2020-06-26,Faye Fatou,Sénégal,53.82,56,54,46,36,25,53.82,46.01,54,46,36,56,63,56,48.3316,Non,refusée
GMC0000085,2020-06-25,Niang Aïda,Sénégal,54.11,79,54,34,32,33,54.11,33.84,54,34,32,79,95,79,49.9416,Non,refusée
GMC0000086,2020-06-26,Tientcheu Owona,Cameroun,39.25,24,39,44,21,30,39.25,44.31,39,44,21,24,81,24,35.083800000000004,Non,refusée
GMC0000087,2020-06-25,Coulibaly Mamadou,Côte d'ivoire,69.18,51,69,39,57,73,69.18,39.34,69,39,57,51,33,51,54.623400000000004,Oui,passable
GMC0000088,2020-06-24,Ben Jannet Mohamed,Tunisie,74.62,63,75,59,34,61,74.62,59.44,75,59,34,63,30,63,60.145,Oui,assez bien
GMC0000089,2020-06-22,Koulibaly Ibrahima,Côte d'ivoire,56.77,56,57,54,71,1,56.77,53.53,57,54,71,56,67,56,56.1462,Oui,passable
GMC0000090,2020-06-26,Gaye Ndeye,Sénégal,84.8,85,85,49,57,27,84.8,49.12,85,49,57,85,16,85,66.8066,Oui,assez bien
GMC0000091,2020-06-25,Toure Adama,Côte d'ivoire,52.0,1,52,28,25,13,52.0,27.76,52,28,25,1,41,1,28.961799999999997,Non,refusée
GMC0000092,2020-06-23,Karoui Nabil,Tunisie,40.0,99,40,31,7,34,40.0,31.33,40,31,7,99,43,99,43.9454,Non,refusée
GMC0000093,2020-06-24,Djoko Mbia,Cameroun,24.3,91,24,65,1,55,24.3,65.32,24,65,1,91,45,91,47.0186,Non,refusée
GMC0000094,2020-06-24,Ben Ammar Slimane,Tunisie,35.38,34,35,100,94,37,35.38,100.0,35,100,94,34,82,34,63.547200000000004,Oui,assez bien
GMC0000095,2020-06-24,Sebsi Béji,Tunisie,70.41,22,70,87,16,61,70.41,87.47,70,87,16,22,95,22,56.777,Oui,passable
GMC0000096,2020-06-26,Alladaye Gbènè,Bénin,47.95,72,48,45,12,73,47.95,45.16,48,45,12,72,68,72,47.6778,Non,refusée
GMC0000097,2020-06-24,Traoré Souleymane,Côte d'ivoire,41.38,69,41,16,100,36,41.38,16.08,41,16,100,69,87,69,49.888600000000004,Non,refusée
GMC0000098,2020-06-23,Hached Farhat,Tunisie,63.21,82,63,83,1,38,63.21,83.3,63,83,1,82,27,82,60.8954,Oui,assez bien
GMC0000099,2020-06-23,Nguiamba Doumbe,Cameroun,23.28,53,23,20,35,53,23.28,19.84,23,20,35,53,49,53,31.8794,Non,refusée
GMC0000100,2020-06-25,Agossa Têko,Bénin,37.2,65,37,38,33,89,37.2,38.31,37,38,33,65,63,65,44.9578,Non,refusée
GMC0000101,2020-06-24,Batonon Gbènè,Bénin,57.28,47,57,10,33,47,57.28,78.88,47,79,10,10,43,86,46.4566,Non,refusée
GMC0000102,2020-06-24,Sarr Mariama,Sénégal,64.16,47,64,10,12,47,64.16,12.95,47,13,10,10,6,42,30.1254,Non,refusée
GMC0000103,2020-06-26,Gbèdji Akouvi,Bénin,62.59,47,63,10,40,47,62.59,70.52,47,71,10,10,5,2,37.331199999999995,Non,refusée
GMC0000104,2020-06-25,Boukhari Mohamed,Tunisie,57.13,47,57,10,76,47,57.13,51.83,47,52,10,10,52,15,36.3716,Non,refusée
GMC0000105,2020-06-24,Toure Adama,Côte d'ivoire,62.11,47,62,10,79,47,62.11,57.84,47,58,10,10,84,4,38.2096,Non,refusée
GMC0000106,2020-06-24,Badiane Pape,Sénégal,84.09,47,84,10,63,47,84.09,95.47,47,95,10,10,33,31,50.797200000000004,Oui,passable
GMC0000107,2020-06-26,Soglo Foli,Bénin,30.47,47,30,10,49,47,30.47,18.65,47,19,10,10,21,13,22.6248,Non,refusée
GMC0000108,2020-06-22,Sebsi Béji,Tunisie,38.3,47,38,10,92,47,38.3,88.96,47,89,10,10,45,74,45.2858,Non,refusée
GMC0000109,2020-06-25,Diallo Cheick,Côte d'ivoire,80.61,47,81,10,77,47,80.61,74.02,47,74,10,10,61,20,46.273999999999994,Non,refusée
GMC0000110,2020-06-25,Bouzouita Mohamed,Tunisie,17.97,47,18,10,78,47,17.97,26.61,47,27,10,10,18,27,23.851599999999998,Non,refusée
GMC0000111,2020-06-25,Gueye Aissatou,Sénégal,71.89,47,72,10,10,47,71.89,45.53,47,46,10,10,81,97,44.674,Non,refusée
GMC0000112,2020-06-23,Agossa Têko,Bénin,7.23,47,7,10,40,47,7.23,43.28,47,43,10,10,66,69,28.0416,Non,refusée
GMC0000113,2020-06-26,Kodjo Akouvi,Bénin,38.73,47,39,10,66,47,38.73,57.55,47,58,10,10,9,65,37.1532,Non,refusée
GMC0000114,2020-06-22,Saied Kais,Tunisie,68.73,47,69,10,52,47,68.73,65.4,47,65,10,10,62,23,41.3812,Non,refusée
GMC0000115,2020-06-24,Dokou Kossi,Bénin,44.9,47,45,10,58,47,44.9,17.48,47,17,10,10,54,57,30.9714,Non,refusée
GMC0000116,2020-06-23,Niang Aïda,Sénégal,45.45,47,45,10,79,47,45.45,50.45,47,50,10,10,29,85,40.126,Non,refusée
GMC0000117,2020-06-23,Monastiri Mohamed,Tunisie,67.02,47,67,10,79,47,67.02,54.11,47,54,10,10,95,9,39.3186,Non,refusée
GMC0000118,2020-06-25,Dione Anta,Sénégal,4.54,47,5,10,1,47,4.54,83.33,47,83,10,10,42,45,30.269000000000002,Non,refusée
GMC0000119,2020-06-26,Lombe Ngando,Cameroun,51.18,47,51,10,69,47,51.18,100.0,47,100,10,10,31,25,44.0122,Non,refusée
GMC0000120,2020-06-24,Koulibaly Ibrahima,Côte d'ivoire,59.87,47,60,10,1,47,59.87,59.93,47,60,10,10,3,95,42.4632,Non,refusée
GMC0000121,2020-06-25,Biya Mvondo,Cameroun,43.79,47,44,10,22,47,43.79,38.06,47,38,10,10,39,16,28.6424,Non,refusée
GMC0000122,2020-06-22,Ben Youssef Mohamed,Tunisie,34.56,47,35,47,35,47,34.56,47.41,47,47,35,73,67,73,48.0582,Non,refusée
GMC0000123,2020-06-22,Nyom Foe,Cameroun,32.93,47,33,56,56,47,32.93,55.75,47,56,56,3,50,3,39.1572,Non,refusée
GMC0000124,2020-06-24,Ben Taher Mohamed,Tunisie,60.91,47,61,28,57,47,60.91,28.31,47,28,57,17,11,17,39.6992,Non,refusée
GMC0000125,2020-06-23,Ngoumou Ewane,Cameroun,7.42,47,7,47,34,47,7.42,46.89,47,47,34,3,95,3,28.377,Non,refusée
GMC0000126,2020-06-24,Sylla Ndèye,Sénégal,59.84,47,60,31,26,47,59.84,30.97,47,31,26,80,52,80,48.742200000000004,Non,refusée
GMC0000127,2020-06-22,Kana Biya,Cameroun,38.02,47,38,58,47,47,38.02,58.11,47,58,47,68,71,68,52.83860000000001,Oui,passable
GMC0000128,2020-06-22,Coulibaly Cheick,Côte d'ivoire,42.52,47,43,59,73,47,42.52,58.51,47,59,73,47,54,47,53.7206,Oui,passable
GMC0000129,2020-06-23,Ewane Mbappe,Cameroun,67.35,47,67,22,67,47,67.35,21.51,47,22,67,99,7,99,57.256800000000005,Oui,passable
GMC0000130,2020-06-23,Odjo Koffi,Bénin,66.97,47,67,41,20,47,66.97,40.94,47,41,20,58,4,58,46.77799999999999,Non,refusée
GMC0000131,2020-06-22,Cissé Ndèye,Sénégal,55.99,47,56,35,78,47,55.99,34.69,47,35,78,56,19,56,51.8408,Oui,passable
GMC0000132,2020-06-26,El Heni Mohamed,Tunisie,53.78,47,54,48,71,47,53.78,48.49,47,48,71,37,62,37,51.0154,Oui,passable
GMC0000133,2020-06-22,Doumbe Biya,Cameroun,70.4,47,70,77,44,47,70.4,77.32,47,77,44,89,80,89,69.16860000000001,Oui,assez bien
GMC0000134,2020-06-26,Jouini Mohamed,Tunisie,97.34,47,97,1,20,47,97.34,1.0,47,1,20,34,65,34,38.6546,Non,refusée
GMC0000135,2020-06-25,Mèdègnon Gbènè,Bénin,65.99,47,66,60,52,47,65.99,60.48,47,60,52,43,23,43,54.424,Oui,passable
GMC0000136,2020-06-22,Diatta Fatou,Sénégal,25.95,47,26,77,51,47,25.95,77.49,47,77,51,3,1,3,41.7792,Non,refusée
GMC0000137,2020-06-22,El Ghoul Mohamed,Tunisie,1.0,47,1,55,34,47,1.0,55.47,47,55,34,88,91,88,46.2046,Non,refusée
GMC0000138,2020-06-25,Sanogo Mamadou,Côte d'ivoire,98.26,47,98,29,34,47,98.26,28.79,47,29,34,85,56,85,58.9466,Oui,passable
GMC0000139,2020-06-23,Koulibaly Adama,Côte d'ivoire,6.62,47,7,9,16,47,6.62,8.58,47,9,16,36,100,36,21.4202,Non,refusée
GMC0000140,2020-06-23,Diouf Moussa,Sénégal,80.26,47,80,24,37,47,80.26,24.38,47,24,37,19,82,19,41.4338,Non,refusée
GMC0000141,2020-06-22,Ben Jemaa Habib,Tunisie,69.94,47,70,83,73,47,69.94,83.38,47,83,73,77,89,77,73.209,Oui,bien
GMC0000142,2020-06-24,Ben Miled Mohamed,Tunisie,40.5,47,41,71,80,47,40.5,71.27,47,71,80,70,70,70,62.7386,Oui,assez bien
GMC0000143,2020-06-26,Toukourou Gbènè,Bénin,67.56,47,68,82,16,47,67.56,82.38,47,82,16,82,28,82,63.0958,Oui,assez bien
GMC0000144,2020-06-24,Kana Biya,Cameroun,28.74,47,29,51,36,47,28.74,51.26,47,51,36,81,18,81,48.651399999999995,Non,refusée
GMC0000145,2020-06-23,Tchabi Kossi,Bénin,79.42,47,79,59,84,47,79.42,58.74,47,59,84,9,3,9,54.925,Oui,passable
GMC0000146,2020-06-22,Ben Halima Mohamed,Tunisie,36.89,47,37,52,49,47,36.89,52.18,47,52,49,76,2,76,51.466,Oui,passable
GMC0000147,2020-06-24,Gaye Ndeye,Sénégal,67.52,47,68,70,75,47,67.52,70.47,47,70,75,16,65,16,56.7174,Oui,passable
GMC0000148,2020-06-23,Diakité Adama,Côte d'ivoire,74.6,47,75,38,34,47,74.6,38.13,47,38,34,21,6,21,42.541399999999996,Non,refusée
GMC0000149,2020-06-24,Camara Mamadou,Côte d'ivoire,46.96,47,47,36,89,47,46.96,35.78,47,36,89,17,76,17,45.2438,Non,refusée
GMC0000150,2020-06-22,Dikobe Nzouankeu,Cameroun,100.0,47,100,51,47,47,100.0,51.47,47,51,47,65,27,65,63.0646,Oui,assez bien
GMC0000151,2020-06-25,Diarra Ibrahima,Côte d'ivoire,62.4,47,62,38,50,47,62.4,37.77,47,38,50,62,49,62,51.3846,Oui,passable
GMC0000152,2020-06-23,Seck Awa,Sénégal,69.91,47,70,41,59,47,69.91,41.08,47,41,59,97,10,97,61.6008,Oui,assez bien
GMC0000153,2020-06-25,Kouton Akouvi,Bénin,38.15,47,38,39,5,47,38.15,39.07,47,39,5,84,54,84,43.67359999999999,Non,refusée
GMC0000154,2020-06-23,Seck Awa,Sénégal,48.58,47,49,44,80,47,48.58,43.91,47,44,80,58,84,58,54.801,Oui,passable
GMC0000155,2020-06-26,Diakité Adama,Côte d'ivoire,83.94,47,84,48,54,47,83.94,47.66,47,48,54,50,63,50,57.4714,Oui,passable
GMC0000156,2020-06-23,Mbia Abanda,Cameroun,29.88,47,30,35,59,47,29.88,34.6,47,35,59,63,38,63,44.8382,Non,refusée
GMC0000157,2020-06-22,Drame Ndongo,Sénégal,1.0,47,1,60,41,47,1.0,60.37,47,60,41,58,36,58,41.6166,Non,refusée
GMC0000158,2020-06-26,Tchalla Foli,Bénin,41.66,47,42,55,97,47,41.66,55.05,47,55,97,84,57,84,63.7434,Oui,assez bien
GMC0000159,2020-06-25,Owona Chedjou,Cameroun,27.83,47,28,43,58,47,27.83,42.56,47,43,58,28,48,28,39.668,Non,refusée
GMC0000160,2020-06-26,Agbéssi Gbènè,Bénin,58.35,47,58,67,68,47,58.35,67.04,47,67,68,88,18,88,66.0992,Oui,assez bien
GMC0000161,2020-06-22,Osseni Akouvi,Bénin,63.42,47,63,63,90,47,63.42,63.46,47,63,90,36,78,36,60.4426,Oui,assez bien
GMC0000162,2020-06-24,Zoua Tchuisseu,Cameroun,31.4,47,31,35,43,47,31.4,34.65,47,35,43,37,46,37,37.535,Non,refusée
GMC0000163,2020-06-25,Gueye Pape,Sénégal,41.99,47,42,69,29,47,41.99,69.23,47,69,29,85,17,85,56.244,Oui,passable
GMC0000164,2020-06-24,Migan Komi,Bénin,27.1,47,27,100,30,47,27.1,100.0,47,100,30,62,31,62,57.461000000000006,Oui,passable
GMC0000165,2020-06-23,Moudachirou Kossi,Bénin,28.51,47,29,88,82,47,28.51,88.12,47,88,82,29,100,29,57.568000000000005,Oui,passable
GMC0000166,2020-06-25,Fotso Zoua,Cameroun,55.65,47,56,60,12,47,55.65,59.74,47,60,12,2,72,2,38.4972,Non,refusée
GMC0000167,2020-06-23,Tchetche Nyom,Cameroun,65.72,47,66,14,39,47,65.72,13.95,47,14,39,12,71,12,34.1438,Non,refusée
GMC0000168,2020-06-22,Kouki Chokri,Tunisie,54.66,47,55,71,11,47,54.66,71.14,47,71,11,63,45,63,52.89059999999999,Oui,passable
GMC0000169,2020-06-25,Cissé Ndèye,Sénégal,73.81,47,74,39,71,47,73.81,38.87,47,39,71,18,6,18,47.93,Non,refusée
GMC0000170,2020-06-25,Sghaier Hichem,Tunisie,74.7,47,75,13,20,47,74.7,12.69,47,13,20,31,71,31,36.5802,Non,refusée
GMC0000171,2020-06-24,Ogougbé Akouvi,Bénin,48.18,47,48,55,19,47,48.18,55.29,47,55,19,39,19,39,42.9154,Non,refusée
GMC0000172,2020-06-24,Gahou Koffi,Bénin,36.23,47,36,41,48,47,36.23,40.82,47,41,48,99,69,99,53.9648,Oui,passable
GMC0000173,2020-06-25,Tunisie Taïeb,Tunisie,26.55,47,27,26,51,47,26.55,25.65,47,26,51,26,38,26,32.93600000000001,Non,refusée
GMC0000174,2020-06-26,Traoré Ibrahima,Côte d'ivoire,19.02,47,19,16,61,47,19.02,16.45,47,16,61,57,54,57,36.6258,Non,refusée
GMC0000175,2020-06-26,Kiki Têko,Bénin,53.49,47,53,11,63,47,53.49,11.26,47,11,63,25,52,25,36.6364,Non,refusée
GMC0000176,2020-06-23,Diakité Sadio,Côte d'ivoire,44.42,47,44,58,67,47,44.42,57.84,47,58,67,13,89,13,46.753,Non,refusée
GMC0000177,2020-06-23,Seck Ndèye,Sénégal,100.0,77,100,40,6,31,100.0,39.91,100,40,6,77,2,77,58.9098,Oui,passable
GMC0000178,2020-06-23,Fodha Mohamed,Tunisie,53.06,97,53,23,81,56,53.06,23.15,53,23,81,97,92,97,58.8974,Oui,passable
